1,2,3,4,5,6,7,8,9,10
Return of the Jedi (1983),"Godfather, The (1972)",In the Line of Fire (1993),"Godfather: Part II, The (1974)",Top Gun (1986),Aliens (1986),"Blues Brothers, The (1980)",Much Ado About Nothing (1993),"Last of the Mohicans, The (1992)",Face/Off (1997)
"Terminator, The (1984)","Godfather: Part II, The (1974)",Indiana Jones and the Last Crusade (1989),Glory (1989),Casablanca (1942),2001: A Space Odyssey (1968),"Bridge on the River Kwai, The (1957)",In the Line of Fire (1993),"Clockwork Orange, A (1971)","Wizard of Oz, The (1939)"
Citizen Kane (1941),Alien (1979),"Shawshank Redemption, The (1994)","Boot, Das (1981)",Schindler's List (1993),12 Angry Men (1957),Blade Runner (1982),Reservoir Dogs (1992),"Bridge on the River Kwai, The (1957)",Chinatown (1974)
Rear Window (1954),Nikita (La Femme Nikita) (1990),"Godfather: Part II, The (1974)","Bridge on the River Kwai, The (1957)",Lawrence of Arabia (1962),Searching for Bobby Fischer (1993),Heat (1995),It's a Wonderful Life (1946),GoodFellas (1990),Chasing Amy (1997)
Blade Runner (1982),2001: A Space Odyssey (1968),Monty Python and the Holy Grail (1974),Psycho (1960),Full Metal Jacket (1987),"Shining, The (1980)",Vertigo (1958),"Graduate, The (1967)",Seven (Se7en) (1995),"Killing Fields, The (1984)"
"Hunt for Red October, The (1990)",Jerry Maguire (1996),Blade Runner (1982),Back to the Future (1985),"Princess Bride, The (1987)",Star Trek: The Wrath of Khan (1982),"Shawshank Redemption, The (1994)","Boot, Das (1981)",To Kill a Mockingbird (1962),Dead Poets Society (1989)
Star Wars (1977),Lost Highway (1997),One Flew Over the Cuckoo's Nest (1975),Air Force One (1997),Good Will Hunting (1997),"Game, The (1997)","Full Monty, The (1997)",Cold Comfort Farm (1995),Raiders of the Lost Ark (1981),"Birdcage, The (1996)"
Good Will Hunting (1997),Fargo (1996),"Rainmaker, The (1997)",Marvin's Room (1996),Chasing Amy (1997),Scream (1996),Return of the Jedi (1983),"Game, The (1997)",Fallen (1998),"Close Shave, A (1995)"
"Game, The (1997)",L.A. Confidential (1997),Contact (1997),Fly Away Home (1996),Chasing Amy (1997),"Full Monty, The (1997)",Soul Food (1997),Star Wars (1977),Face/Off (1997),Gattaca (1997)
"Close Shave, A (1995)",Amistad (1997),Return of the Jedi (1983),Good Will Hunting (1997),Dead Man Walking (1995),"Devil's Own, The (1997)","Wrong Trousers, The (1993)",Marvin's Room (1996),"Boot, Das (1981)",Air Force One (1997)
Good Will Hunting (1997),Titanic (1997),Fargo (1996),Apt Pupil (1998),Chasing Amy (1997),Secrets & Lies (1996),Trainspotting (1996),Boogie Nights (1997),Raiders of the Lost Ark (1981),"Godfather: Part II, The (1974)"
Blade Runner (1982),"Princess Bride, The (1987)",Monty Python and the Holy Grail (1974),Much Ado About Nothing (1993),Aliens (1986),Dead Man Walking (1995),Strictly Ballroom (1992),Richard III (1995),Lone Star (1996),This Is Spinal Tap (1984)
Good Will Hunting (1997),Boogie Nights (1997),Back to the Future (1985),"Rainmaker, The (1997)","Shawshank Redemption, The (1994)","Usual Suspects, The (1995)",Kolya (1996),Highlander (1986),Amistad (1997),Toy Story (1995)
Air Force One (1997),One Flew Over the Cuckoo's Nest (1975),Pulp Fiction (1994),Babe (1995),Dead Man Walking (1995),"Usual Suspects, The (1995)",Schindler's List (1993),"Game, The (1997)","Silence of the Lambs, The (1991)",Secrets & Lies (1996)
Casablanca (1942),"Hunt for Red October, The (1990)",Reservoir Dogs (1992),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),"Blues Brothers, The (1980)","Godfather: Part II, The (1974)",Aliens (1986),Lawrence of Arabia (1962),Glory (1989),Alien (1979)
Star Wars (1977),Enchanted April (1991),Terminator 2: Judgment Day (1991),"Empire Strikes Back, The (1980)",Return of the Jedi (1983),Harold and Maude (1971),Amadeus (1984),Indiana Jones and the Last Crusade (1989),Cinema Paradiso (1988),Henry V (1989)
"Godfather, The (1972)","Boot, Das (1981)",Air Force One (1997),Private Parts (1997),Babe (1995),"Full Monty, The (1997)",Sense and Sensibility (1995),L.A. Confidential (1997),Some Like It Hot (1959),Schindler's List (1993)
Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Shawshank Redemption, The (1994)",Fargo (1996),Apollo 13 (1995),Casablanca (1942),12 Angry Men (1957),Titanic (1997),"Blues Brothers, The (1980)",Braveheart (1995)
Blade Runner (1982),"Silence of the Lambs, The (1991)",Die Hard (1988),Reservoir Dogs (1992),"Wrong Trousers, The (1993)","Godfather, The (1972)",Searching for Bobby Fischer (1993),"Bridge on the River Kwai, The (1957)","Close Shave, A (1995)",Conspiracy Theory (1997)
Star Wars (1977),Fargo (1996),Contact (1997),Welcome to the Dollhouse (1995),"Boot, Das (1981)",Annie Hall (1977),Return of the Jedi (1983),Cinema Paradiso (1988),Carried Away (1996),"Rock, The (1996)"
Sling Blade (1996),Good Will Hunting (1997),Platoon (1986),Toy Story (1995),Reservoir Dogs (1992),Star Trek: The Wrath of Khan (1982),"Wrong Trousers, The (1993)","Day the Earth Stood Still, The (1951)",Die Hard (1988),Groundhog Day (1993)
Good Will Hunting (1997),Air Force One (1997),Amistad (1997),Boogie Nights (1997),"Edge, The (1997)","Ice Storm, The (1997)",One Flew Over the Cuckoo's Nest (1975),Dead Man Walking (1995),Raise the Red Lantern (1991),Jackie Brown (1997)
Star Wars (1977),"Usual Suspects, The (1995)","Terminator, The (1984)","Silence of the Lambs, The (1991)",Fargo (1996),"Empire Strikes Back, The (1980)",Raiders of the Lost Ark (1981),Blade Runner (1982),Braveheart (1995),Aliens (1986)
"Rock, The (1996)",Air Force One (1997),Star Wars (1977),Fargo (1996),Men in Black (1997),Monty Python and the Holy Grail (1974),Back to the Future (1985),Indiana Jones and the Last Crusade (1989),"Godfather, The (1972)",Twelve Monkeys (1995)
Raiders of the Lost Ark (1981),Braveheart (1995),Pulp Fiction (1994),"Godfather, The (1972)",Apocalypse Now (1979),"Princess Bride, The (1987)",Amadeus (1984),"Hunt for Red October, The (1990)","Empire Strikes Back, The (1980)",Reservoir Dogs (1992)
"Silence of the Lambs, The (1991)","Shawshank Redemption, The (1994)",Citizen Kane (1941),Amadeus (1984),Much Ado About Nothing (1993),"Usual Suspects, The (1995)","Sting, The (1973)","Blues Brothers, The (1980)","Wizard of Oz, The (1939)",Forrest Gump (1994)
Sense and Sensibility (1995),Titanic (1997),Kolya (1996),Schindler's List (1993),One Flew Over the Cuckoo's Nest (1975),Annie Hall (1977),"Boot, Das (1981)",Toy Story (1995),Air Force One (1997),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)
"Sting, The (1973)",Rear Window (1954),Alien (1979),"Terminator, The (1984)",Casablanca (1942),Terminator 2: Judgment Day (1991),Raiders of the Lost Ark (1981),12 Angry Men (1957),It's a Wonderful Life (1946),Fantasia (1940)
Air Force One (1997),Rosewood (1997),As Good As It Gets (1997),Phenomenon (1996),One Flew Over the Cuckoo's Nest (1975),"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",Secrets & Lies (1996),Twelve Monkeys (1995),G.I. Jane (1997),Fargo (1996)
"Godfather, The (1972)",Casablanca (1942),Monty Python and the Holy Grail (1974),"Empire Strikes Back, The (1980)","Clockwork Orange, A (1971)","Abyss, The (1989)",Trainspotting (1996),Raiders of the Lost Ark (1981),"Truth About Cats & Dogs, The (1996)",Rear Window (1954)
"Godfather, The (1972)","Shawshank Redemption, The (1994)",Dead Poets Society (1989),Heat (1995),"Usual Suspects, The (1995)",Amadeus (1984),"Godfather: Part II, The (1974)",Babe (1995),GoodFellas (1990),Platoon (1986)
Star Wars (1977),Good Will Hunting (1997),Fargo (1996),Air Force One (1997),"Godfather, The (1972)","Boot, Das (1981)","Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",Gattaca (1997),Leaving Las Vegas (1995),Secrets & Lies (1996)
Titanic (1997),Good Will Hunting (1997),Bottle Rocket (1996),Antonia's Line (1995),Amistad (1997),Pulp Fiction (1994),"Shawshank Redemption, The (1994)","Princess Bride, The (1987)","Usual Suspects, The (1995)","Silence of the Lambs, The (1991)"
Monty Python and the Holy Grail (1974),"Godfather, The (1972)","Godfather: Part II, The (1974)",Blade Runner (1982),Psycho (1960),Star Trek: The Wrath of Khan (1982),One Flew Over the Cuckoo's Nest (1975),It's a Wonderful Life (1946),Lawrence of Arabia (1962),Babe (1995)
"Usual Suspects, The (1995)",Titanic (1997),Apt Pupil (1998),Good Will Hunting (1997),L.A. Confidential (1997),Top Gun (1986),To Kill a Mockingbird (1962),"Sting, The (1973)","Terminator, The (1984)",In the Line of Fire (1993)
Seven Years in Tibet (1997),"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)","Thousand Acres, A (1997)","Ice Storm, The (1997)",Playing God (1997),"Apostle, The (1997)",Independence Day (ID4) (1996),Incognito (1997),Men in Black (1997),Star Wars (1977)
"People vs. Larry Flynt, The (1996)","Silence of the Lambs, The (1991)",When We Were Kings (1996),Sabrina (1995),"Blues Brothers, The (1980)","First Wives Club, The (1996)","Postino, Il (1994)",Secrets & Lies (1996),Bound (1996),Michael Collins (1996)
Sense and Sensibility (1995),L.A. Confidential (1997),Dead Man Walking (1995),Star Wars (1977),Chasing Amy (1997),Schindler's List (1993),Pulp Fiction (1994),Jackie Brown (1997),"Sting, The (1973)",Good Will Hunting (1997)
Blade Runner (1982),Apocalypse Now (1979),"Clockwork Orange, A (1971)",Braveheart (1995),Seven (Se7en) (1995),Star Wars (1977),It's a Wonderful Life (1946),"Boot, Das (1981)",Dead Man Walking (1995),Monty Python and the Holy Grail (1974)
"Shawshank Redemption, The (1994)",Titanic (1997),Much Ado About Nothing (1993),Die Hard (1988),Searching for Bobby Fischer (1993),Babe (1995),Groundhog Day (1993),Lawrence of Arabia (1962),Field of Dreams (1989),True Lies (1994)
Titanic (1997),Good Will Hunting (1997),L.A. Confidential (1997),"Godfather: Part II, The (1974)","Usual Suspects, The (1995)",Men in Black (1997),Apt Pupil (1998),Pulp Fiction (1994),2001: A Space Odyssey (1968),It's a Wonderful Life (1946)
"Usual Suspects, The (1995)",Braveheart (1995),Reservoir Dogs (1992),Schindler's List (1993),Contact (1997),Men in Black (1997),Fargo (1996),Much Ado About Nothing (1993),Beauty and the Beast (1991),Apollo 13 (1995)
"Usual Suspects, The (1995)",Die Hard (1988),Fargo (1996),"Godfather, The (1972)",Forrest Gump (1994),"Fugitive, The (1993)",Contact (1997),Indiana Jones and the Last Crusade (1989),"Hunt for Red October, The (1990)",Trainspotting (1996)
"Shawshank Redemption, The (1994)",Forrest Gump (1994),Apocalypse Now (1979),Schindler's List (1993),Platoon (1986),Amadeus (1984),"Clockwork Orange, A (1971)",Tombstone (1993),One Flew Over the Cuckoo's Nest (1975),Titanic (1997)
One Flew Over the Cuckoo's Nest (1975),Chinatown (1974),To Kill a Mockingbird (1962),"Shining, The (1980)",Full Metal Jacket (1987),This Is Spinal Tap (1984),Fantasia (1940),Schindler's List (1993),Monty Python's Life of Brian (1979),12 Angry Men (1957)
L.A. Confidential (1997),Scream (1996),As Good As It Gets (1997),It's a Wonderful Life (1946),"Fugitive, The (1993)",Apt Pupil (1998),"Full Monty, The (1997)","Boot, Das (1981)","Close Shave, A (1995)",Dead Man Walking (1995)
"Godfather, The (1972)",Schindler's List (1993),Seven (Se7en) (1995),"Usual Suspects, The (1995)",One Flew Over the Cuckoo's Nest (1975),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Taxi Driver (1976),Rear Window (1954),Psycho (1960),Amadeus (1984)
Star Wars (1977),L.A. Confidential (1997),"Boot, Das (1981)",Dead Man Walking (1995),One Flew Over the Cuckoo's Nest (1975),"Full Monty, The (1997)",When We Were Kings (1996),Chasing Amy (1997),Secrets & Lies (1996),"Postino, Il (1994)"
Star Wars (1977),"Rainmaker, The (1997)",L.A. Confidential (1997),Anastasia (1997),Star Trek: First Contact (1996),Return of the Jedi (1983),Ulee's Gold (1997),Good Will Hunting (1997),"Wings of the Dove, The (1997)",Forrest Gump (1994)
Casablanca (1942),One Flew Over the Cuckoo's Nest (1975),North by Northwest (1959),Amadeus (1984),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),2001: A Space Odyssey (1968),Blade Runner (1982),"Shawshank Redemption, The (1994)",Pulp Fiction (1994),Strictly Ballroom (1992)
"Shawshank Redemption, The (1994)","Princess Bride, The (1987)","Fugitive, The (1993)",It's a Wonderful Life (1946),Babe (1995),Amadeus (1984),Casablanca (1942),Citizen Kane (1941),"Great Escape, The (1963)",Rear Window (1954)
"Boot, Das (1981)",Schindler's List (1993),Fargo (1996),M*A*S*H (1970),Die Hard: With a Vengeance (1995),My Fair Lady (1964),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Blade Runner (1982),"Maltese Falcon, The (1941)",Three Colors: White (1994)
"Silence of the Lambs, The (1991)",Braveheart (1995),"Godfather, The (1972)",Toy Story (1995),Casablanca (1942),"Shawshank Redemption, The (1994)",Schindler's List (1993),Die Hard (1988),"Hunt for Red October, The (1990)",Apocalypse Now (1979)
Good Will Hunting (1997),Kolya (1996),Fargo (1996),Jackie Brown (1997),Four Days in September (1997),"Apostle, The (1997)","Silence of the Lambs, The (1991)","English Patient, The (1996)","Close Shave, A (1995)",Raiders of the Lost Ark (1981)
"Godfather, The (1972)",2001: A Space Odyssey (1968),Citizen Kane (1941),Fargo (1996),Casablanca (1942),GoodFellas (1990),"Boot, Das (1981)",Blade Runner (1982),Harold and Maude (1971),It's a Wonderful Life (1946)
Titanic (1997),"Godfather, The (1972)",Good Will Hunting (1997),"Full Monty, The (1997)",Chasing Amy (1997),"Princess Bride, The (1987)",Men in Black (1997),"Game, The (1997)",Gattaca (1997),Leaving Las Vegas (1995)
L.A. Confidential (1997),Kiss the Girls (1997),Wag the Dog (1997),Fly Away Home (1996),"MatchMaker, The (1997)",Desperate Measures (1998),Chasing Amy (1997),Good Will Hunting (1997),"Rainmaker, The (1997)",Soul Food (1997)
Contact (1997),Good Will Hunting (1997),L.A. Confidential (1997),Kiss the Girls (1997),"Silence of the Lambs, The (1991)","Usual Suspects, The (1995)",Apt Pupil (1998),Courage Under Fire (1996),Twelve Monkeys (1995),"Devil's Advocate, The (1997)"
Air Force One (1997),Boogie Nights (1997),"Full Monty, The (1997)",Good Will Hunting (1997),Wag the Dog (1997),Fly Away Home (1996),Secrets & Lies (1996),Lone Star (1996),Return of the Jedi (1983),"Usual Suspects, The (1995)"
Titanic (1997),Braveheart (1995),Raiders of the Lost Ark (1981),"Princess Bride, The (1987)","Fugitive, The (1993)",Toy Story (1995),Ransom (1996),"Empire Strikes Back, The (1980)",It's a Wonderful Life (1946),Die Hard (1988)
"Godfather, The (1972)","English Patient, The (1996)","Godfather: Part II, The (1974)",Secrets & Lies (1996),Babe (1995),Beauty and the Beast (1991),Fried Green Tomatoes (1991),Unforgiven (1992),Trainspotting (1996),"American President, The (1995)"
Good Will Hunting (1997),"Game, The (1997)",As Good As It Gets (1997),Ulee's Gold (1997),Star Wars (1977),Swept from the Sea (1997),Star Trek: First Contact (1996),Anna Karenina (1997),"Winter Guest, The (1997)",Alien (1979)
"Silence of the Lambs, The (1991)",Casablanca (1942),Schindler's List (1993),Aliens (1986),"Fugitive, The (1993)","Godfather, The (1972)",Rear Window (1954),Apocalypse Now (1979),Terminator 2: Judgment Day (1991),"Terminator, The (1984)"
Titanic (1997),Scream (1996),Schindler's List (1993),Dead Man Walking (1995),"Boot, Das (1981)","Usual Suspects, The (1995)",Twelve Monkeys (1995),Men in Black (1997),Clerks (1994),Pulp Fiction (1994)
"Time to Kill, A (1996)",Return of the Jedi (1983),Star Wars (1977),"Shawshank Redemption, The (1994)","Silence of the Lambs, The (1991)","Game, The (1997)",Seven (Se7en) (1995),"Full Monty, The (1997)","Truth About Cats & Dogs, The (1996)",Titanic (1997)
L.A. Confidential (1997),"Edge, The (1997)","English Patient, The (1996)","Full Monty, The (1997)",Contact (1997),Amistad (1997),Rosewood (1997),Good Will Hunting (1997),Apt Pupil (1998),"Devil's Advocate, The (1997)"
Titanic (1997),Bound (1996),Jerry Maguire (1996),"Silence of the Lambs, The (1991)","Godfather, The (1972)","Devil's Own, The (1997)",Star Trek: First Contact (1996),Star Wars (1977),Ransom (1996),"Truth About Cats & Dogs, The (1996)"
"Shawshank Redemption, The (1994)","Silence of the Lambs, The (1991)","Wrong Trousers, The (1993)",Schindler's List (1993),"Godfather: Part II, The (1974)",One Flew Over the Cuckoo's Nest (1975),Good Will Hunting (1997),Heathers (1989),Rosencrantz and Guildenstern Are Dead (1990),Dead Poets Society (1989)
"Godfather, The (1972)","Silence of the Lambs, The (1991)",To Kill a Mockingbird (1962),Star Wars (1977),"Wizard of Oz, The (1939)","Godfather: Part II, The (1974)",Casablanca (1942),Amadeus (1984),One Flew Over the Cuckoo's Nest (1975),Fantasia (1940)
Raiders of the Lost Ark (1981),Sense and Sensibility (1995),"Empire Strikes Back, The (1980)","Boot, Das (1981)","Silence of the Lambs, The (1991)",Casablanca (1942),To Kill a Mockingbird (1962),"Fugitive, The (1993)","Sound of Music, The (1965)",It's a Wonderful Life (1946)
One Flew Over the Cuckoo's Nest (1975),Dead Man Walking (1995),Alien (1979),To Kill a Mockingbird (1962),My Life as a Dog (Mitt liv som hund) (1985),Hoop Dreams (1994),Harold and Maude (1971),Big Night (1996),Babe (1995),Contact (1997)
Star Wars (1977),"Rock, The (1996)",Sense and Sensibility (1995),Star Trek: First Contact (1996),Titanic (1997),Welcome to the Dollhouse (1995),Good Will Hunting (1997),Pulp Fiction (1994),"People vs. Larry Flynt, The (1996)","Shawshank Redemption, The (1994)"
As Good As It Gets (1997),Raiders of the Lost Ark (1981),"Boot, Das (1981)",Jerry Maguire (1996),Private Parts (1997),"Postino, Il (1994)",Dead Man Walking (1995),Eve's Bayou (1997),Chasing Amy (1997),Welcome to the Dollhouse (1995)
Casablanca (1942),"Silence of the Lambs, The (1991)",North by Northwest (1959),Titanic (1997),"Philadelphia Story, The (1940)","Maltese Falcon, The (1941)",Mr. Smith Goes to Washington (1939),12 Angry Men (1957),Some Like It Hot (1959),"Bridge on the River Kwai, The (1957)"
"Empire Strikes Back, The (1980)",Schindler's List (1993),"Usual Suspects, The (1995)",Terminator 2: Judgment Day (1991),Die Hard (1988),Braveheart (1995),"Shawshank Redemption, The (1994)",Casablanca (1942),Men in Black (1997),"Silence of the Lambs, The (1991)"
Titanic (1997),Fargo (1996),"Fugitive, The (1993)","Godfather, The (1972)",Star Wars (1977),Die Hard (1988),Taxi Driver (1976),"Empire Strikes Back, The (1980)",Apt Pupil (1998),L.A. Confidential (1997)
Rear Window (1954),To Kill a Mockingbird (1962),Schindler's List (1993),It's a Wonderful Life (1946),When Harry Met Sally... (1989),"Graduate, The (1967)",Blade Runner (1982),Vertigo (1958),Psycho (1960),"Postino, Il (1994)"
Rosewood (1997),Fargo (1996),Amistad (1997),Secrets & Lies (1996),Apt Pupil (1998),Murder at 1600 (1997),Contact (1997),Chasing Amy (1997),"Game, The (1997)",Conspiracy Theory (1997)
Star Wars (1977),Raiders of the Lost Ark (1981),"Shawshank Redemption, The (1994)","Princess Bride, The (1987)","Empire Strikes Back, The (1980)",Die Hard (1988),Blade Runner (1982),Glory (1989),Star Trek: First Contact (1996),Psycho (1960)
"Fugitive, The (1993)","Boot, Das (1981)","Princess Bride, The (1987)","Bridge on the River Kwai, The (1957)",Psycho (1960),"Great Escape, The (1963)",Mary Poppins (1964),"Magnificent Seven, The (1954)",Blade Runner (1982),Full Metal Jacket (1987)
Fargo (1996),Star Wars (1977),Emma (1996),Titanic (1997),Chasing Amy (1997),Return of the Jedi (1983),Sense and Sensibility (1995),Schindler's List (1993),"Mirror Has Two Faces, The (1996)","Godfather, The (1972)"
"Godfather, The (1972)",When Harry Met Sally... (1989),Apollo 13 (1995),"Piano, The (1993)",Forrest Gump (1994),Duck Soup (1933),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Beauty and the Beast (1991),Snow White and the Seven Dwarfs (1937),Like Water For Chocolate (Como agua para chocolate) (1992)
"Princess Bride, The (1987)",Blade Runner (1982),Titanic (1997),"Shawshank Redemption, The (1994)",When Harry Met Sally... (1989),Men in Black (1997),One Flew Over the Cuckoo's Nest (1975),"Blues Brothers, The (1980)","Usual Suspects, The (1995)","Godfather, The (1972)"
Dead Man Walking (1995),Sling Blade (1996),Donnie Brasco (1997),Dial M for Murder (1954),Ulee's Gold (1997),My Own Private Idaho (1991),Platoon (1986),"Wild Bunch, The (1969)",Pather Panchali (1955),"World of Apu, The (Apur Sansar) (1959)"
"Shawshank Redemption, The (1994)",Apocalypse Now (1979),One Flew Over the Cuckoo's Nest (1975),Psycho (1960),"Boot, Das (1981)",To Kill a Mockingbird (1962),Toy Story (1995),"Clockwork Orange, A (1971)",Cool Hand Luke (1967),"Great Escape, The (1963)"
Raiders of the Lost Ark (1981),Terminator 2: Judgment Day (1991),Dead Man Walking (1995),Schindler's List (1993),Fargo (1996),Amadeus (1984),Indiana Jones and the Last Crusade (1989),"Fugitive, The (1993)","Empire Strikes Back, The (1980)",Return of the Jedi (1983)
"Godfather, The (1972)",Sense and Sensibility (1995),Secrets & Lies (1996),Titanic (1997),"Postino, Il (1994)",Jerry Maguire (1996),Monty Python and the Holy Grail (1974),"Clockwork Orange, A (1971)",Big Night (1996),Raiders of the Lost Ark (1981)
"Silence of the Lambs, The (1991)","Godfather, The (1972)",Die Hard (1988),Schindler's List (1993),Braveheart (1995),Amadeus (1984),When Harry Met Sally... (1989),"Usual Suspects, The (1995)",Terminator 2: Judgment Day (1991),"Terminator, The (1984)"
"Silence of the Lambs, The (1991)",Casablanca (1942),Psycho (1960),Raiders of the Lost Ark (1981),GoodFellas (1990),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),"Shining, The (1980)",Reservoir Dogs (1992),Rear Window (1954),Citizen Kane (1941)
"Godfather, The (1972)",Casablanca (1942),Fargo (1996),Star Wars (1977),GoodFellas (1990),"Empire Strikes Back, The (1980)",Unforgiven (1992),Sling Blade (1996),Reservoir Dogs (1992),It's a Wonderful Life (1946)
Apt Pupil (1998),Good Will Hunting (1997),"Full Monty, The (1997)",Boogie Nights (1997),"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",Kolya (1996),Star Wars (1977),Everyone Says I Love You (1996),"Devil's Own, The (1997)",Deconstructing Harry (1997)
"Blues Brothers, The (1980)","Shawshank Redemption, The (1994)","Fish Called Wanda, A (1988)",Fantasia (1940),It's a Wonderful Life (1946),"Godfather, The (1972)","Close Shave, A (1995)",Babe (1995),Casablanca (1942),Seven (Se7en) (1995)
Good Will Hunting (1997),Apt Pupil (1998),"Full Monty, The (1997)",L.A. Confidential (1997),As Good As It Gets (1997),Mr. Holland's Opus (1995),"Rock, The (1996)","Godfather, The (1972)",Raise the Red Lantern (1991),Jerry Maguire (1996)
Good Will Hunting (1997),Fargo (1996),Star Wars (1977),Kolya (1996),Air Force One (1997),"Godfather, The (1972)",Dead Man Walking (1995),Raiders of the Lost Ark (1981),Star Trek: First Contact (1996),Secrets & Lies (1996)
Raiders of the Lost Ark (1981),Casablanca (1942),Terminator 2: Judgment Day (1991),"Empire Strikes Back, The (1980)",Die Hard (1988),E.T. the Extra-Terrestrial (1982),"Blues Brothers, The (1980)",Top Gun (1986),"Maltese Falcon, The (1941)",Raging Bull (1980)
"Postino, Il (1994)",Men in Black (1997),L.A. Confidential (1997),Courage Under Fire (1996),Titanic (1997),Lone Star (1996),"English Patient, The (1996)","Celluloid Closet, The (1995)",Air Force One (1997),Lawrence of Arabia (1962)
L.A. Confidential (1997),Amistad (1997),"Rock, The (1996)",Good Will Hunting (1997),"Godfather, The (1972)",G.I. Jane (1997),Twelve Monkeys (1995),Rosewood (1997),"Devil's Advocate, The (1997)","Close Shave, A (1995)"
Beauty and the Beast (1991),Searching for Bobby Fischer (1993),Toy Story (1995),"Princess Bride, The (1987)",Sneakers (1992),Willy Wonka and the Chocolate Factory (1971),Amadeus (1984),Monty Python's Life of Brian (1979),Pink Floyd - The Wall (1982),Casablanca (1942)
Titanic (1997),"Full Monty, The (1997)",L.A. Confidential (1997),Leaving Las Vegas (1995),Sense and Sensibility (1995),Alien: Resurrection (1997),Chasing Amy (1997),Emma (1996),Swingers (1996),"Usual Suspects, The (1995)"
"Godfather, The (1972)",One Flew Over the Cuckoo's Nest (1975),Psycho (1960),"Usual Suspects, The (1995)","Shawshank Redemption, The (1994)",Duck Soup (1933),Raging Bull (1980),"Shining, The (1980)",Twelve Monkeys (1995),"Close Shave, A (1995)"
It's a Wonderful Life (1946),"Shawshank Redemption, The (1994)",Casablanca (1942),Indiana Jones and the Last Crusade (1989),"Sound of Music, The (1965)","Godfather, The (1972)",To Kill a Mockingbird (1962),Titanic (1997),Monty Python and the Holy Grail (1974),Glory (1989)
"Godfather, The (1972)","Boot, Das (1981)",Men in Black (1997),"Clockwork Orange, A (1971)",Casablanca (1942),Sense and Sensibility (1995),Rear Window (1954),GoodFellas (1990),Dead Man Walking (1995),Emma (1996)
Good Will Hunting (1997),Titanic (1997),Star Wars (1977),Fargo (1996),Trainspotting (1996),"Full Monty, The (1997)",Amistad (1997),One Flew Over the Cuckoo's Nest (1975),Kolya (1996),Apt Pupil (1998)
Titanic (1997),L.A. Confidential (1997),Good Will Hunting (1997),"Rainmaker, The (1997)","Game, The (1997)","Silence of the Lambs, The (1991)",Kiss the Girls (1997),Raiders of the Lost Ark (1981),Anastasia (1997),Rear Window (1954)
Star Wars (1977),"Boot, Das (1981)","Godfather, The (1972)",Donnie Brasco (1997),Contact (1997),Leaving Las Vegas (1995),"Silence of the Lambs, The (1991)","Close Shave, A (1995)",Richard III (1995),L.A. Confidential (1997)
Star Wars (1977),Casablanca (1942),Good Will Hunting (1997),Monty Python and the Holy Grail (1974),One Flew Over the Cuckoo's Nest (1975),Psycho (1960),Titanic (1997),"Silence of the Lambs, The (1991)",As Good As It Gets (1997),"Empire Strikes Back, The (1980)"
"Shawshank Redemption, The (1994)",Raiders of the Lost Ark (1981),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),Good Will Hunting (1997),"Postino, Il (1994)",One Flew Over the Cuckoo's Nest (1975),Forrest Gump (1994),Jerry Maguire (1996),Titanic (1997)
Citizen Kane (1941),"Godfather, The (1972)",Chinatown (1974),Raging Bull (1980),"African Queen, The (1951)",Big Night (1996),Mr. Smith Goes to Washington (1939),Young Frankenstein (1974),"Godfather: Part II, The (1974)","Day the Earth Stood Still, The (1951)"
Monty Python and the Holy Grail (1974),Rear Window (1954),It's a Wonderful Life (1946),Titanic (1997),Apocalypse Now (1979),Willy Wonka and the Chocolate Factory (1971),Braveheart (1995),M*A*S*H (1970),Young Frankenstein (1974),Some Like It Hot (1959)
Contact (1997),"Godfather, The (1972)","Rock, The (1996)",Toy Story (1995),Willy Wonka and the Chocolate Factory (1971),Fargo (1996),Monty Python and the Holy Grail (1974),Reservoir Dogs (1992),Seven (Se7en) (1995),That Thing You Do! (1996)
Star Trek: First Contact (1996),Private Parts (1997),Scream (1996),Sense and Sensibility (1995),"Time to Kill, A (1996)",Apt Pupil (1998),Michael (1996),Mr. Holland's Opus (1995),"Spitfire Grill, The (1996)",Starship Troopers (1997)
Fargo (1996),"Empire Strikes Back, The (1980)",Casablanca (1942),Star Wars (1977),Return of the Jedi (1983),Babe (1995),"Silence of the Lambs, The (1991)","Usual Suspects, The (1995)",Amadeus (1984),Aladdin (1992)
